ticker,issuer_name
A,Agilent Technologies Inc. (A)
AA,Alcoa Corp (AA)
AA_1,Arconic Inc (AA)
AAAP,Advanced Accelerator Applications SA (AAAP)
AAAP_1,Advanced Accelerator Applications S.A. (AAAP)
AAAU,Perth Mint Physical Gold ETF (AAAU)
AABA,Altaba Inc (AABA)
AAB_WS,(AAB.WS)
AAC,AAC Holdings Inc (AAC)
AAC_1,Australia Acquisition Corp (AAC)
AAC_2,Hongli Clean Energy Technologies Corp (AAC)
AACG,ATA Creativity Global (AACG)
AACQ,Artius Acquisition Inc (AACQ)
AACQU,Artius Acquisition Inc (AACQU)
AACQW,Artius Acquisition Inc (AACQW)
AADR,Advisorshares Trust (AADR)
AAL,American Airlines Group Inc (AAL)
AAMC,Altisource Asset Management Corp (AAMC)
AAME,Atlantic American Corp. (AAME)
AAN,Aarons Holdings Company Inc (AAN)
AAN_1,Aaron`s Inc (AAN)
AAOI,Applied Optoelectronics Inc (AAOI)
AAON,AAON Inc. (AAON)
AAP,Advance Auto Parts Inc (AAP)
AAPC,Atlantic Alliance Partnership Corp (AAPC)
AAPL,Apple Inc (AAPL)
AAR,AMR Corp. (AAR)
AAT,American Assets Trust Inc (AAT)
AAU,Almaden Minerals Ltd (AAU)
AAV,Advantage Oil & Gas Ltd. (AAV)
AAWW,Atlas Air Worldwide Holdings Inc. (AAWW)
AAXJ,BlackRock Institutional Trust Company N.A. (AAXJ)
AAXN,Axon Enterprise Inc (AAXN)
AAY,(AAY)
AB,AllianceBernstein Holding Lp (AB)
ABAC,Renmin Tainli Group Inc (ABAC)
ABAT,Advanced Battery Technologies Inc. (ABAT)
ABAX,Abaxis Inc. (ABAX)
ABB,ABB Ltd. (ABB)
ABBV,Abbvie Inc (ABBV)
ABC,Amerisource Bergen Corp. (ABC)
ABCB,Ameris Bancorp (ABCB)
ABCD,Cambium Learning Group Inc (ABCD)
ABCO,Advisory Board Co (ABCO)
ABDC,Alcentra Capital Corp (ABDC)
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc (ABE)
ABEO,Abeona Therapeutics Inc (ABEO)
ABEOW,Abeona Therapeutics Inc (ABEOW)
ABEQ,Unified Series Trust (ABEQ)
ABEV,Ambev S.A. (ABEV)
ABG,Asbury Automotive Group Inc (ABG)
ABI,Safety First Trust Series 2009-2 (ABI)
ABIL,Ability Inc (ABIL)
ABIO,ARCA biopharma Inc (ABIO)
ABL,American Biltrite Inc. (ABL)
ABLX,Ablynx (ABLX)
ABM,ABM Industries Inc. (ABM)
ABMD,Abiomed Inc. (ABMD)
ABR,Arbor Realty Trust Inc. (ABR)
ABR_1,Atlantic Premium Brands Ltd. (ABR)
ABRN,Arbor Realty Trust Inc. (ABRN)
ABRN_CL,Arbor Realty Trust Inc (ABRN.CL)
ABR_P_A,Arbor Realty Trust Inc. (ABRpA)
ABR_P_B,Arbor Realty Trust Inc. (ABRpB)
ABR_P_C,Arbor Realty Trust Inc. (ABRpC)
ABR_P_RA,Arbor Realty Trust Inc. (ABRpRA)
ABR_P_RB,Arbor Realty Trust Inc. (ABRpRB)
ABR_P_RC,Arbor Realty Trust Inc. (ABRpRC)
ABT,Abbott Laboratories (ABT)
ABTX,Allegiance Bancshares Inc (ABTX)
ABUS,Arbutus Biopharma Corp (ABUS)
ABVT,Abovenet Inc (ABVT)
ABY,Abitibi Consolidated Inc. (ABY)
ABY_1,AB Svensk Exportkredit (ABY)
ABY_2,Atlantica Yield plc (ABY)
AC,Associated Capital Group Inc (AC)
ACA,Arcosa Inc (ACA)
ACAD,Acadia Pharmaceuticals Inc (ACAD)
ACAM,Acamar Partners Acquisition Corp (ACAM)
ACAMU,Acamar Partners Acquisition Corp (ACAMU)
ACAS,American Capital Ltd (ACAS)
ACB,Aurora Cannabis Inc (ACB)
ACBI,Atlantic Capital Bancshares Inc (ACBI)
ACC,American Campus Communities Inc. (ACC)
ACCD,Accolade Inc (ACCD)
ACCO,Acco Brands Corporation (ACCO)
ACCO_1,800 America.com Inc (ACCO)
ACEL,Accel Entertainment Inc (ACEL)
ACEL_WS,Accel Entertainment Inc (ACEL.WS)
ACER,Acer Therapeutics Inc (ACER)
ACERW,Acer Therapeutics Inc (ACERW)
ACES,ALPS Fund Services (ACES)
ACET,Adicet Bio Inc (ACET)
ACET_1,Aceto Corp. (ACET)
ACEVU,ACE Convergence Acquisition Corp (ACEVU)
ACFC,Atlantic Coast Financial Corp (ACFC)
ACG,AllianceBernstein Income Fund Inc (ACG)
ACGL,Arch Capital Group Ltd (ACGL)
ACGLO,Arch Capital Group Ltd (ACGLO)
ACGLO_1,Arch Capital Group Ltd (ACGLO)
ACGLP,Arch Capital Group Ltd (ACGLP)
ACGLP_1,Arch Capital Group Ltd (ACGLP)
ACH,Aluminum Corporation Of China Limited. (ACH)
ACHC,Acadia Healthcare Company Inc (ACHC)
ACHC_1,American Capital Holding Inc. (ACHC)
ACHN,Achillion Pharmaceuticals (ACHN)
ACHV,Achieve Life Sciences Inc. (ACHV)
ACI,Albertsons Companies Inc (ACI)
ACIA,Acacia Communications Inc (ACIA)
ACIA_1,Aprecia Inc. (ACIA)
ACIM_1,SSgA Active Trust (ACIM)
ACIO,ETF Series Solutions Trust (ACIO)
ACIU,AC Immune SA (ACIU)
ACIW,ACI Worldwide Inc (ACIW)
ACLS,Axcelis Technologies Inc (ACLS)
ACM,AECOM (ACM)
ACMR,ACM Research Inc (ACMR)
ACN,Accenture plc (ACN)
ACNB,ACNB Corp. (ACNB)
ACND,Ascendant Digital Acquisition Corp (ACND)
ACND_U,Ascendant Digital Acquisition Corp (ACND.U)
ACOR,Acorda Therapeutics Inc (ACOR)
ACP,Aberdeen Income Credit Strategies Fund (ACP)
ACPR,Aberdeen Income Credit Strategies Fund (ACPr)
ACRE,Ares Commercial Real Estate Corp (ACRE)
ACRS,Aclaris Therapeutics Inc (ACRS)
ACRX,Acelrx Pharmaceuticals Inc (ACRX)
ACSF,American Capital Senior Floating Ltd (ACSF)
ACSI,ETF Series Solutions Trust (ACSI)
ACSI_1,ACD Systems International Inc (ACSI)
ACST,Acasti Pharma Inc (ACST)
ACST_1,Access Tradeone.com Inc (ACST)
ACT,Advisorshares Trust (ACT)
ACTA,Actua Corp (ACTA)
ACTCU,ArcLight Clean Transition Corp (ACTCU)
ACTG,Acacia Research Corp (ACTG)
ACTTU,Act II Global Acquisition Corp (ACTTU)
ACTX,Global X Funds (ACTX)
ACU,Acme United Corp. (ACU)
ACUR,Acura Pharmaceuticals Inc. (ACUR)
ACV,AllianzGI Diversified Income & Convertible Fund (ACV)
ACV_1,Alberto-Culver Co. (ACV)
ACWF,BlackRock Institutional Trust Company N.A. (ACWF)
ACWI,BlackRock Institutional Trust Company N.A. (ACWI)
ACWV,BlackRock Institutional Trust Company N.A. (ACWV)
ACWX,BlackRock Institutional Trust Company N.A. (ACWX)
ACXM,Acxiom Corp. (ACXM)
ACXM_1,Acxiom Corp. (ACXM)
ACY,Aerocentury Corp. (ACY)
ADAP,Adaptimmune Therapeutics Plc (ADAP)
ADBE,Adobe Inc (ADBE)
ADC,Agree Realty Corp. (ADC)
ADCT,Adc Therapeutics SA (ADCT)
ADCT_1,ADC Telecommunications Inc. (ADCT)
ADES,Advanced Emissions Solutions Inc (ADES)
ADG,"Allied Defense Group, Inc. (ADG)"
ADGE,American DG Energy Inc (ADGE)
ADI,Analog Devices Inc. (ADI)
ADIL,Adial Pharmaceuticals Inc (ADIL)
ADILW,Adial Pharmaceuticals Inc (ADILW)
ADJ_1,Morgan Stanley (ADJ)
ADK,Adcare Health Systems Inc. (ADK)
ADK_P_A,Adcare Health Systems Inc. (ADKpA)
ADK_U,(ADK.U)
ADK_WS,Adcare Health Systems Inc. (ADK.WS)
ADM,Archer Daniels Midland Co. (ADM)
ADMA,Adma Biologics Inc (ADMA)
ADME,ETF Series Solutions Trust (ADME)
ADMP,Adamis Pharmaceuticals Corp (ADMP)
ADMS,Adamas Pharmaceuticals Inc (ADMS)
ADNT,Adient plc (ADNT)
ADOM,ADOMANI Inc. (ADOM)
ADP,Automatic Data Processing Inc. (ADP)
ADPT,Adaptive Biotechnologies Corp (ADPT)
ADPT_1,Steel Excel Inc (ADPT)
ADRA,Invesco Capital Management LLC (ADRA)
ADRD,Invesco Capital Management LLC (ADRD)
ADRE,Invesco Capital Management LLC (ADRE)
ADRU,Invesco Capital Management LLC (ADRU)
ADS,Alliance Data System (ADS)
ADSK,Autodesk Inc. (ADSK)
ADSW,Advanced Disposal Services Inc (ADSW)
ADT,ADT Inc (ADT)
ADTN,Adtran Inc. (ADTN)
ADTX,Aditx Therapeutics Inc (ADTX)
ADUS,Addus HomeCare Corporation (ADUS)
ADVM,Adverum Biotechnologies Inc (ADVM)
ADX,Adams Diversified Equity Fund (ADX)
ADXN,Addex Therapeutics Ltd (ADXN)
ADXS,"Advaxis, Inc. (ADXS)"
ADXSW,"Advaxis, Inc. (ADXSW)"
ADYX,Adynxx Inc (ADYX)
