ticker,issuer_name
A,Agilent Technologies Inc. (A)
AA,Alcoa Corp (AA)
AA_1,Arconic Inc (AA)
AAA,Listed Funds Trust (AAA)
AAA_1,Altana AG (AAA)
AAAU,Perth Mint Physical Gold ETF (AAAU)
AABA,Altaba Inc (AABA)
AAC,AAC Holdings Inc (AAC)
AAC_1,Hongli Clean Energy Technologies Corp (AAC)
AAC_2,Australia Acquisition Corp (AAC)
AACG,ATA Creativity Global (AACG)
AACQ,Artius Acquisition Inc (AACQ)
AACQU,Artius Acquisition Inc (AACQU)
AACQW,Artius Acquisition Inc (AACQW)
AADR,Advisorshares Trust (AADR)
AAI,Airtran Holdings Inc. (AAI)
AAL,American Airlines Group Inc (AAL)
AAMC,Altisource Asset Management Corp (AAMC)
AAME,Atlantic American Corp. (AAME)
AAN,Aarons Holdings Company Inc (AAN)
AAN_1,Aaron`s Inc (AAN)
AAN_2,Aaron`s Inc (AAN)
AAOI,Applied Optoelectronics Inc (AAOI)
AAON,AAON Inc. (AAON)
AAP,Advance Auto Parts Inc (AAP)
AA_P,Arconic Inc (AAp)
AAPL,Apple Inc (AAPL)
AAR,AMR Corp. (AAR)
AAT,American Assets Trust Inc (AAT)
AAU,Almaden Minerals Ltd (AAU)
AAV,Advantage Oil & Gas Ltd. (AAV)
AAV_1,Advantage Energy Income Fund (AAV)
AAWW,Atlas Air Worldwide Holdings Inc. (AAWW)
AAXJ,BlackRock Institutional Trust Company N.A. (AAXJ)
AAXN,Axon Enterprise Inc (AAXN)
AB,AllianceBernstein Holding Lp (AB)
ABA,ALABAMA POWER CO. SERIES JJ 6.375% SR N (ABA)
ABA_1,ALABAMA POWER COMPANY SR NOTES 6.375 SE (ABA)
ABA_2,ALABAMA POWER COMPANY (ABA)
ABA_3,ALABAMA POWER COERIES JJ 6.375% SR NOTE (ABA)
ABA_5,ALABAMA POWER CO. SERIES JJ 6.375% SR. (ABA)
ABA_6,ALABAMA POWER CO (ABA)
ABA_7,(ABA)
ABA_8,(ABA)
ABA_9,Alba SE (ABA)
ABA_CL,ALABAMA POWER CO. SERIES JJ 6.375% SR N (ABA.CL)
ABA_CL_1,ALABAMA POWER CO (ABA.CL)
ABAX,Abaxis Inc. (ABAX)
ABB,ABB Ltd. (ABB)
ABBV,Abbvie Inc (ABBV)
ABBVW_,AbbVie Inc (ABBVw_)
ABBVW__1,Abbvie Inc (ABBVw_)
ABC,Amerisource Bergen Corp. (ABC)
ABCB,Ameris Bancorp (ABCB)
ABCD,Cambium Learning Group Inc (ABCD)
ABCW,Anchor Bancorp Wisconsin Inc. (ABCw)
ABDC,Alcentra Capital Corp (ABDC)
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc (ABE)
ABEO,Abeona Therapeutics Inc (ABEO)
ABEOW,Abeona Therapeutics Inc (ABEOW)
ABEQ,Unified Series Trust (ABEQ)
ABEV,Ambev S.A. (ABEV)
ABG,Asbury Automotive Group Inc (ABG)
ABH,Resolute Forest Products Inc (ABH)
ABHW_,(ABHw_)
ABI,Applied Biosystems Inc (ABI)
ABIL,Ability Inc (ABIL)
ABIO,ARCA biopharma Inc (ABIO)
ABK,AMBAC Financial Group Inc. (ABK)
ABK_P_Z_,AMBAC Financial Group Inc. (ABKpZ_)
ABLX,Ablynx (ABLX)
ABM,ABM Industries Inc. (ABM)
ABMD,Abiomed Inc. (ABMD)
ABN,RBS Holdings NV (ABN)
ABN_P_E_,RBS Capital Funding Trust V (ABNpE_)
ABN_P_F_,RBS Capital Funding Trust VI (ABNpF_)
ABN_P_G_,RBS Capital Funding Trust VII (ABNpG_)
ABR,Arbor Realty Trust Inc. (ABR)
ABR_1,Atlantic Premium Brands Ltd. (ABR)
ABRN,Arbor Realty Trust Inc. (ABRN)
ABRN_CL,Arbor Realty Trust Inc (ABRN.CL)
ABR_P_A,Arbor Realty Trust Inc. (ABRpA)
ABR_P_B,Arbor Realty Trust Inc. (ABRpB)
ABR_P_C,Arbor Realty Trust Inc. (ABRpC)
ABR_P_RA,Arbor Realty Trust Inc. (ABRpRA)
ABR_P_RB,Arbor Realty Trust Inc. (ABRpRB)
ABR_P_RC,Arbor Realty Trust Inc. (ABRpRC)
ABS_P,(ABSp)
ABS_P__,(ABSp_)
ABT,Abbott Laboratories (ABT)
ABTW_,Abbott Laboratories (ABTw_)
ABTX,Allegiance Bancshares Inc (ABTX)
ABUS,Arbutus Biopharma Corp (ABUS)
ABV,Companhia De Bebidas Das Americas (ABV)
ABV_C,Companhia De Bebidas Das Americas (ABV.C)
ABVT,Abovenet Inc (ABVT)
ABW_P_RA_,ASBC Capital I (ABWpRA_)
ABY,Abitibi Consolidated Inc. (ABY)
AC,Associated Capital Group Inc (AC)
ACA,Arcosa Inc (ACA)
ACA_1,Manifold Capital Corp (ACA)
ACAD,Acadia Pharmaceuticals Inc (ACAD)
ACAM,Acamar Partners Acquisition Corp (ACAM)
ACAMU,Acamar Partners Acquisition Corp (ACAMU)
ACAMW,Acamar Partners Acquisition Corp (ACAMW)
ACB,Aurora Cannabis Inc (ACB)
ACBI,Atlantic Capital Bancshares Inc (ACBI)
ACC,American Campus Communities Inc. (ACC)
ACCD,Accolade Inc (ACCD)
ACCO,Acco Brands Corporation (ACCO)
ACCO_1,800 America.com Inc (ACCO)
ACCOW_,ACCO Brands (ACCOw_)
ACEL,Accel Entertainment Inc (ACEL)
ACEL_WS,Accel Entertainment Inc (ACEL.WS)
ACE_P_C,ACE LTD DEP SH PFD C (ACEpC)
ACE_P_C_,(ACEpC_)
ACE_P_C_1,(ACEpC)
ACE_P_C_CL,(ACEpC.CL)
ACER,Acer Therapeutics Inc (ACER)
ACES,ALPS Fund Services (ACES)
ACET,Adicet Bio Inc (ACET)
ACET_1,Aceto Corp. (ACET)
ACEV,ACE Convergence Acquisition Corp (ACEV)
ACEVU,ACE Convergence Acquisition Corp (ACEVU)
ACEVW,ACE Convergence Acquisition Corp (ACEVW)
ACF,Americredit Corp. (ACF)
ACFC,Atlantic Coast Financial Corp (ACFC)
ACG,AllianceBernstein Income Fund Inc (ACG)
ACGL,Arch Capital Group Ltd (ACGL)
ACGLO,Arch Capital Group Ltd (ACGLO)
ACGLP,Arch Capital Group Ltd (ACGLP)
ACH,Aluminum Corporation Of China Limited. (ACH)
ACHC,Acadia Healthcare Company Inc (ACHC)
ACHN,Achillion Pharmaceuticals (ACHN)
ACHV,Achieve Life Sciences Inc. (ACHV)
ACI,Albertsons Companies Inc (ACI)
ACIA,Acacia Communications Inc (ACIA)
ACIO,ETF Series Solutions Trust (ACIO)
ACIU,AC Immune SA (ACIU)
ACIW,ACI Worldwide Inc (ACIW)
ACL,Alcon Inc (ACL)
ACLS,Axcelis Technologies Inc (ACLS)
ACM,AECOM (ACM)
ACMR,ACM Research Inc (ACMR)
ACMW_R,Aecom Technology Corporation (ACMw_r)
ACN,Accenture plc (ACN)
ACNB,ACNB Corp. (ACNB)
ACND,Ascendant Digital Acquisition Corp (ACND)
ACND_U,Ascendant Digital Acquisition Corp (ACND.U)
ACND_WS,Ascendant Digital Acquisition Corp (ACND.WS)
ACO,Amcol International Corp. (ACO)
ACOR,Acorda Therapeutics Inc (ACOR)
ACP,Aberdeen Income Credit Strategies Fund (ACP)
ACP_P__,(ACPp_)
ACPR,Aberdeen Income Credit Strategies Fund (ACPr)
ACPR_,Avenue Income Credit Strategies Fund (ACPr_)
ACPR__1,Icahn Enterprises L P (ACPr_)
ACRE,Ares Commercial Real Estate Corp (ACRE)
ACRS,Aclaris Therapeutics Inc (ACRS)
ACRX,Acelrx Pharmaceuticals Inc (ACRX)
ACS,Affiliated Computer Services Inc. (ACS)
ACSF,American Capital Senior Floating Ltd (ACSF)
ACSG,DBX ETF Trust (ACSG)
ACSI,ETF Series Solutions Trust (ACSI)
ACST,Acasti Pharma Inc (ACST)
ACT,Advisorshares Trust (ACT)
ACTCU,ArcLight Clean Transition Corp (ACTCU)
ACTG,Acacia Research Corp (ACTG)
ACTTU,Act II Global Acquisition Corp (ACTTU)
ACTV,Active Network Inc (ACTV)
ACTW,ACTAVIS PLC (NEW) (ACTw)
ACU,Acme United Corp. (ACU)
ACV,AllianzGI Diversified Income & Convertible Fund (ACV)
ACV_1,Alberto-Culver Co. (ACV)
ACV_2,Alberto-Culver Co. (ACV)
ACW,Accuride Corp (ACW)
ACW_1,Accuride Corp (ACW)
AC_WD,Associated Capital Group Inc (AC.WD)
ACWF,BlackRock Institutional Trust Company N.A. (ACWF)
ACWI,BlackRock Institutional Trust Company N.A. (ACWI)
ACWV,BlackRock Institutional Trust Company N.A. (ACWV)
ACWX,BlackRock Institutional Trust Company N.A. (ACWX)
ACXM,Acxiom Corp. (ACXM)
ACXM_1,Acxiom Corp. (ACXM)
ACY,Aerocentury Corp. (ACY)
AD,ADVO Inc. (AD)
ADAP,Adaptimmune Therapeutics Plc (ADAP)
ADBE,Adobe Inc (ADBE)
ADC,Agree Realty Corp. (ADC)
ADCT,Adc Therapeutics SA (ADCT)
