Ticker,Name,Exchange,Last Trade Date
A,Agilent Technologies Inc.,NYSE,2020-10-20
AA,Alcoa Corporation,NYSE,2020-10-20
AAA,LISTED FUND TRUST,NYSE Arca,2020-10-20
AAAU,Perth Mint Physical Gold ETF Shares,NYSE Arca,2020-10-20
AACG,ATA Creativity Global,NASDAQ,2020-10-20
AACQ,Artius Acquisition Inc.,NASDAQ,2020-10-20
AACQU,Artius Acquisition Inc. Unit consisting of one ordinary share and one third redeemable warrant,NASDAQ,2020-10-20
AACQW,Artius Acquisition Inc. Warrant,NASDAQ,2020-10-20
AADR,ADVISORSHARES TRUS,NYSE Arca,2020-10-20
AAL,American Airlines Group Inc.,NASDAQ,2020-10-20
AAMC,Altisource Asset Management Corp Com,NYSE MKT,2020-10-20
AAME,Atlantic American Corporation,NASDAQ,2020-10-20
AAN,Aaron's Inc.,NYSE,2020-10-16
AAOI,Applied Optoelectronics Inc.,NASDAQ,2020-10-20
AAON,AAON Inc.,NASDAQ,2020-10-20
AAP,Advance Auto Parts Inc W/I,NYSE,2020-10-20
AAPL,Apple Inc.,NASDAQ,2020-10-20
AAT,American Assets Trust Inc.,NYSE,2020-10-20
AAU,Almaden Minerals Ltd.,NYSE MKT,2020-10-20
AAWW,Atlas Air Worldwide Holdings,NASDAQ,2020-10-20
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,2020-10-20
AAXN,Axon Enterprise Inc.,NASDAQ,2020-10-20
AB,AllianceBernstein Holding L.P. Units,NYSE,2020-10-20
ABB,ABB Ltd,NYSE,2020-10-20
ABBV,AbbVie Inc.,NYSE,2020-10-20
ABC,AmerisourceBergen Corporation,NYSE,2020-10-20
ABCB,Ameris Bancorp,NASDAQ,2020-10-20
ABEO,Abeona Therapeutics Inc.,NASDAQ,2020-10-20
ABEQ,Absolute Core Strategy ETF,NYSE Arca,2020-10-20
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),NYSE,2020-10-20
ABG,Asbury Automotive Group Inc,NYSE,2020-10-20
ABIO,ARCA biopharma Inc.,NASDAQ,2020-10-20
ABM,ABM Industries Incorporated,NYSE,2020-10-20
ABMD,ABIOMED Inc.,NASDAQ,2020-10-20
ABR,Arbor Realty Trust,NYSE,2020-10-20
ABR.P.A,Arbor Realty Trust Preferred Series A,NYSE,2020-10-20
ABR.P.B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,2020-10-20
ABR.P.C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,2020-10-20
ABT,Abbott Laboratories,NYSE,2020-10-20
ABTX,Allegiance Bancshares Inc.,NASDAQ,2020-10-20
ABUS,Arbutus Biopharma Corporation,NASDAQ,2020-10-20
AC,Associated Capital Group Inc.,NYSE,2020-10-20
ACA,Arcosa Inc.,NYSE,2020-10-20
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,2020-10-20
ACAM,Acamar Partners Acquisition Corp.,NASDAQ,2020-10-20
ACAMU,Acamar Partners Acquisition Corp. Units,NASDAQ,2020-10-15
ACAMW,Acamar Partners Acquisition Corp. Warrant,NASDAQ,2020-10-20
ACB,Aurora Cannabis Inc.,NYSE,2020-10-20
ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,2020-10-20
ACC,American Campus Communities Inc,NYSE,2020-10-20
ACCD,Accolade Inc.,NASDAQ,2020-10-20
ACCO,Acco Brands Corporation,NYSE,2020-10-20
ACEL,Accel Entertainment Inc.,NYSE,2020-10-20
ACER,Acer Therapeutics Inc.,NASDAQ,2020-10-20
ACET,Adicet Bio Inc.,NASDAQ,2020-10-20
ACEV,ACE Convergence Acquisition Corp.,NASDAQ,2020-10-20
ACEVU,ACE Convergence Acquisition Corp. Unit,NASDAQ,2020-10-20
ACEVW,ACE Convergence Acquisition Corp. Warrant,NASDAQ,2020-10-20
ACGL,Arch Capital Group Ltd.,NASDAQ,2020-10-20
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,2020-10-20
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ,2020-10-20
ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,2020-10-20
ACHC,Acadia Healthcare Company Inc.,NASDAQ,2020-10-20
ACHV,Achieve Life Sciences Inc.,NASDAQ,2020-10-20
ACI,Albertsons Companies Inc. Class A,NYSE,2020-10-20
ACIA,Acacia Communications Inc.,NASDAQ,2020-10-20
ACIU,AC Immune SA,NASDAQ,2020-10-20
ACIW,ACI Worldwide Inc.,NASDAQ,2020-10-20
ACLS,Axcelis Technologies Inc.,NASDAQ,2020-10-20
ACM,AECOM,NYSE,2020-10-20
ACMR,ACM Research Inc.,NASDAQ,2020-10-20
ACN,Accenture plc Class A (Ireland),NYSE,2020-10-20
ACNB,ACNB Corporation,NASDAQ,2020-10-20
ACND,Ascendant Digital Acquisition Corp. Class A,NYSE,2020-10-20
ACND.U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,NYSE,2020-10-20
ACND.WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,NYSE,2020-10-20
ACOR,Acorda Therapeutics Inc.,NASDAQ,2020-10-20
ACP,Aberdeen Income Credit Strategies Fund,NYSE,2020-10-20
ACRE,Ares Commercial Real Estate Corporation,NYSE,2020-10-20
ACRS,Aclaris Therapeutics Inc.,NASDAQ,2020-10-20
ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,2020-10-20
ACSG,DBX ETF TRUST,NYSE Arca,2020-10-20
ACST,Acasti Pharma Inc.,NASDAQ,2020-10-20
ACT,ADVISORSHARES TRUS,NASDAQ,2020-10-20
ACTCU,ArcLight Clean Transition Corp. Unit,NASDAQ,2020-10-20
ACTG,Acacia Research Corporation,NASDAQ,2020-10-20
ACU,Acme United Corporation.,NYSE MKT,2020-10-20
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,NYSE,2020-10-20
ACWF,ISHARES TRUST,NYSE Arca,2020-10-20
ACWI,iShares MSCI ACWI Index Fund,NASDAQ,2020-10-20
ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,2020-10-20
ACY,AeroCentury Corp.,NYSE MKT,2020-10-20
ADAP,Adaptimmune Therapeutics plc,NASDAQ,2020-10-20
ADBE,Adobe Inc.,NASDAQ,2020-10-20
ADC,Agree Realty Corporation,NYSE,2020-10-20
ADCT,ADC Therapeutics SA,NYSE,2020-10-20
ADES,Advanced Emissions Solutions Inc.,NASDAQ,2020-10-20
ADI,Analog Devices Inc.,NASDAQ,2020-10-20
ADIL,Adial Pharmaceuticals Inc,NASDAQ,2020-10-20
ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,2020-10-20
ADM,Archer-Daniels-Midland Company,NYSE,2020-10-20
ADMA,ADMA Biologics Inc,NASDAQ,2020-10-20
ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,2020-10-20
ADMS,Adamas Pharmaceuticals Inc.,NASDAQ,2020-10-20
ADNT,Adient plc,NYSE,2020-10-20
ADP,Automatic Data Processing Inc.,NASDAQ,2020-10-20
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,2020-10-20
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,2020-10-20
ADS,Alliance Data Systems Corporation,NYSE,2020-10-20
ADSK,Autodesk Inc.,NASDAQ,2020-10-20
ADSW,Advanced Disposal Services Inc.,NYSE,2020-10-20
ADT,ADT Inc.,NYSE,2020-10-20
ADTN,ADTRAN Inc.,NASDAQ,2020-10-20
ADTX,ADiTx Therapeutics Inc.,NASDAQ,2020-10-20
ADUS,Addus HomeCare Corporation,NASDAQ,2020-10-20
ADVM,Adverum Biotechnologies Inc.,NASDAQ,2020-10-20
ADX,Adams Diversified Equity Fund Inc.,NYSE,2020-10-20
ADXN,Addex Therapeutics Ltd,NASDAQ,2020-10-20
ADXS,Advaxis Inc.,NASDAQ,2020-10-20
AE,Adams Resources & Energy Inc.,NYSE MKT,2020-10-20
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NYSE,2020-10-20
AEE,Ameren Corporation,NYSE,2020-10-20
AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,NYSE MKT,2020-10-20
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,2020-10-20
AEG,AEGON N.V.,NYSE,2020-10-20
AEGN,Aegion Corp,NASDAQ,2020-10-20
AEHL,Antelope Enterprise Holdings Limited,NASDAQ,2020-10-20
AEHR,Aehr Test Systems,NASDAQ,2020-10-20
AEIS,Advanced Energy Industries Inc.,NASDAQ,2020-10-20
AEL,American Equity Investment Life Holding Company,NYSE,2020-10-20
AEL.P.A,American Equity Investment Life Holding Company Depositary Shares Series A,NYSE,2020-10-20
AEL.P.B,American Equity Investment Life Holding Company Depositary Shares Series B,NYSE,2020-10-20
AEM,Agnico Eagle Mines Limited,NYSE,2020-10-20
AEMD,Aethlon Medical Inc.,NASDAQ,2020-10-20
AEO,American Eagle Outfitters Inc.,NYSE,2020-10-20
AEP,American Electric Power Company Inc.,NYSE,2020-10-20
AEP.P.B,American Electric Power Company Inc. Corporate Unit,NYSE,2020-09-30
AEP.P.C,American Electric Power Company Inc. Corporate Units,NYSE,2020-09-30
AEPPL,American Electric Power Company Inc. Corporate Unit,NYSE,2020-10-20
AEPPZ,American Electric Power Company Inc. Corporate Unit,NASDAQ,2020-10-20
AER,AerCap Holdings N.V.,NYSE,2020-10-20
AERI,Aerie Pharmaceuticals Inc.,NASDAQ,2020-10-20
AES,The AES Corporation,NYSE,2020-10-20
AESE,"Allied Esports Entertainment Inc,",NASDAQ,2020-10-20
AEY,ADDvantage Technologies Group Inc.,NASDAQ,2020-10-20
AEYE,AudioEye Inc.,NASDAQ,2020-10-20
AEZS,Aeterna Zentaris Inc.,NASDAQ,2020-10-20
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,2020-10-20
AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,NYSE,2020-10-20
AFG,American Financial Group Inc.,NYSE,2020-10-20
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,2020-10-20
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,NYSE,2020-10-20
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,NYSE,2020-10-20
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,NYSE,2020-10-20
AFGH,American Financial Group Inc. 6% Subordinated Debentures due 2055,NYSE,2020-10-20
AFH,Atlas Financial Holdings Inc.,NASDAQ,2020-09-01
AFI,Armstrong Flooring Inc.,NYSE,2020-10-20
AFIB,Acutus Medical Inc.,NASDAQ,2020-10-20
AFIN,American Finance Trust Inc.,NASDAQ,2020-10-20
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,NASDAQ,2020-10-20
AFK,VANECK VECTORS ETF,NYSE Arca,2020-10-20
AFL,AFLAC Incorporated,NYSE,2020-10-20
AFLG,First Trust Active Factor Large Cap ETF,NYSE Arca,2020-10-20
AFMC,First Trust Active Factor Mid Cap ETF,NYSE Arca,2020-10-20
AFMD,Affimed N.V.,NASDAQ,2020-10-20
AFSM,First Trust Active Factor Small Cap ETF,NYSE Arca,2020-10-20
AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,2020-10-20
AFTY,PACER FDS TR,NYSE Arca,2020-10-20
AFYA,Afya Limited,NASDAQ,2020-10-20
AG,First Majestic Silver Corp. (Canada),NYSE,2020-10-20
AGBA,AGBA Acquisition Limited,NASDAQ,2020-10-20
AGBAR,AGBA Acquisition Limited Right,NASDAQ,2020-10-16
AGBAU,AGBA Acquisition Limited Unit,NASDAQ,2020-10-14
AGBAW,AGBA Acquisition Limited Warrant,NASDAQ,2020-10-19
AGCO,AGCO Corporation,NYSE,2020-10-20
AGCUU,Altimeter Growth Corp. Unit,NASDAQ,2020-10-20
AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,2020-10-20
AGE,AgeX Therapeutics Inc.,NYSE MKT,2020-10-20
AGEN,Agenus Inc.,NASDAQ,2020-10-20
AGFS,AgroFresh Solutions Inc.,NASDAQ,2020-10-20
AGG,ISHARES TRUST,NYSE Arca,2020-10-20
AGGP,INDEXIQ ETF TRUST,NYSE Arca,2020-10-20
AGGY,WISDOMTREE TRUST,NYSE Arca,2020-10-20
AGI,Alamos Gold Inc. Class A,NYSE,2020-10-20
AGIO,Agios Pharmaceuticals Inc.,NASDAQ,2020-10-20
AGLE,Aeglea BioTherapeutics Inc.,NASDAQ,2020-10-20
AGM,Federal Agricultural Mortgage Corporation,NYSE,2020-10-20
AGM.A,Federal Agricultural Mortgage Corporation,NYSE,2020-10-20
AGM.P.A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,NYSE,2020-09-18
AGM.P.C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,2020-10-20
AGM.P.D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,NYSE,2020-10-20
AGM.P.E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,NYSE,2020-10-20
AGM.P.F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,NYSE,2020-10-20
AGMH,AGM Group Holdings Inc.,NASDAQ,2020-10-20
AGNC,AGNC Investment Corp.,NASDAQ,2020-10-20
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,2020-10-20
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,NASDAQ,2020-10-20
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,2020-10-20
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferr,NASDAQ,2020-10-20
AGO,Assured Guaranty Ltd.,NYSE,2020-10-20
AGO.P.B,Assured Guaranty Ltd.,NYSE,2020-10-20
AGO.P.E,Assured Guaranty Ltd.,NYSE,2020-10-20
AGO.P.F,Assured Guaranty Ltd.,NYSE,2020-10-20
AGQ,PROSHARES TRUST II,NYSE Arca,2020-10-20
AGR,Avangrid Inc.,NYSE,2020-10-20
AGRO,Adecoagro S.A.,NYSE,2020-10-20
AGRX,Agile Therapeutics Inc.,NASDAQ,2020-10-20
AGS,PlayAGS Inc.,NYSE,2020-10-20
AGTC,Applied Genetic Technologies Corporation,NASDAQ,2020-10-20
AGX,Argan Inc.,NYSE,2020-10-20
AGYS,Agilysys Inc.,NASDAQ,2020-10-20
AGZ,ISHARES TRUST,NYSE Arca,2020-10-20
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,NASDAQ,2020-10-20
AHACU,Alpha Healthcare Acquisition Corp. Unit,NASDAQ,2020-10-20
AHC,A.H. Belo Corporation (TX),NYSE,2020-10-20
AHCO,AdaptHealth Corp.,NASDAQ,2020-10-20
AHH,Armada Hoffler Properties Inc.,NYSE,2020-10-20
AHH.P.A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,NYSE,2020-10-20
AHL.P.C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,NYSE,2020-10-20
AHL.P.D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,2020-10-20
AHL.P.E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,2020-10-20
AHPI,Allied Healthcare Products Inc.,NASDAQ,2020-10-20
AHT,Ashford Hospitality Trust Inc,NYSE,2020-10-20
AHT.P.D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE,2020-10-20
AHT.P.F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,NYSE,2020-10-20
AHT.P.G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,NYSE,2020-10-20
AHT.P.H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,NYSE,2020-10-20
AHT.P.I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,NYSE,2020-10-20
AI,Arlington Asset Investment Corp Class A (new),NYSE,2020-10-20
AI.P.B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,NYSE,2020-10-20
AI.P.C,Arlington Asset Investment Corp 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE,2020-10-19
AIA,iShares Asia 50 ETF,NYSE Arca,2020-10-20
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,NYSE,2020-10-20
AIEQ,ETF MANAGERS TRUST,NYSE Arca,2020-10-20
AIF,Apollo Tactical Income Fund Inc.,NYSE,2020-10-20
AIG,American International Group Inc.,NYSE,2020-10-20
AIG.P.A,American International Group Inc. Depositary Shares Series A,NYSE,2020-10-20
AIG.WS,American International Group Inc. Warrant expiring January 19 2021,NYSE,2020-10-20
AIH,Aesthetic Medical International Holdings Group Ltd.,NASDAQ,2020-10-20
AIHS,Senmiao Technology Limited,NASDAQ,2020-10-20
AIIQ,ETF SER SOLUTIONS,NYSE Arca,2020-10-20
AIKI,AIkido Pharma Inc.,NASDAQ,2020-10-20
AIM,AIM ImmunoTech Inc.,NYSE MKT,2020-10-20
AIMC,Altra Industrial Motion Corp.,NASDAQ,2020-10-20
AIMT,Aimmune Therapeutics Inc.,NASDAQ,2020-10-12
AIN,Albany International Corporation,NYSE,2020-10-20
AINC,Ashford Inc. (Holding Company),NYSE MKT,2020-10-20
AINV,Apollo Investment Corporation,NASDAQ,2020-10-20
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund,NYSE,2020-10-20
AIQ,GLOBAL X FDS,NASDAQ,2020-10-20
AIR,AAR Corp.,NYSE,2020-10-20
AIRG,Airgain Inc.,NASDAQ,2020-10-20
AIRI,Air Industries Group,NYSE MKT,2020-10-20
AIRR,First Trust RBA American Industrial Renaissance ET,NASDAQ,2020-10-20
AIRT,Air T Inc.,NASDAQ,2020-10-20
AIRTP,Air T Inc. Trust Preferred Securities,NASDAQ,2020-10-20
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Trust Preferred,NASDAQ,2020-10-20
AIT,Applied Industrial Technologies Inc.,NYSE,2020-10-20
AIV,Apartment Investment and Management Company,NYSE,2020-10-20
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,NYSE,2020-10-20
AIZ,Assurant Inc.,NYSE,2020-10-20
AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,NYSE,2020-10-20
AJG,Arthur J. Gallagher & Co.,NYSE,2020-10-20
AJRD,Aerojet Rocketdyne Holdings Inc.,NYSE,2020-10-20
AJX,Great Ajax Corp.,NYSE,2020-10-20
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,NYSE,2020-10-20
AKAM,Akamai Technologies Inc.,NASDAQ,2020-10-20
AKBA,Akebia Therapeutics Inc.,NASDAQ,2020-10-20
AKCA,Akcea Therapeutics Inc.,NASDAQ,2020-10-09
AKER,Akers Biosciences Inc.,NASDAQ,2020-10-20
AKO.A,Embotelladora Andina S.A.,NYSE,2020-10-20
AKO.B,Embotelladora Andina S.A.,NYSE,2020-10-20
AKR,Acadia Realty Trust,NYSE,2020-10-20
AKRO,Akero Therapeutics Inc.,NASDAQ,2020-10-20
AKTS,Akoustis Technologies Inc.,NASDAQ,2020-10-20
AKTX,Akari Therapeutics Plc,NASDAQ,2020-10-20
AKU,Akumin Inc.,NASDAQ,2020-10-20
AKUS,Akouos Inc.,NASDAQ,2020-10-20
AL,Air Lease Corporation Class A,NYSE,2020-10-20
AL.P.A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,NYSE,2020-10-20
ALAC,Alberton Acquisition Corporation,NASDAQ,2020-10-20
ALACR,Alberton Acquisition Corporation Rights,NASDAQ,2020-10-20
ALACU,Alberton Acquisition Corporation Unit,NASDAQ,2020-10-02
ALACW,Alberton Acquisition Corporation Warrant,NASDAQ,2020-10-20
ALB,Albemarle Corporation,NYSE,2020-10-20
ALBO,Albireo Pharma Inc.,NASDAQ,2020-10-20
ALC,Alcon Inc.,NYSE,2020-10-20
ALCO,Alico Inc.,NASDAQ,2020-10-20
ALDX,Aldeyra Therapeutics Inc.,NASDAQ,2020-10-20
ALE,Allete Inc.,NYSE,2020-10-20
ALEC,Alector Inc.,NASDAQ,2020-10-20
ALEX,Alexander & Baldwin Inc. REIT Holding Company,NYSE,2020-10-20
ALG,Alamo Group Inc.,NYSE,2020-10-20
ALGN,Align Technology Inc.,NASDAQ,2020-10-20
ALGS,Aligos Therapeutics Inc.,NASDAQ,2020-10-20
ALGT,Allegiant Travel Company,NASDAQ,2020-10-20
ALIM,Alimera Sciences Inc.,NASDAQ,2020-10-20
ALIN.P.A,Altera Infrastructure L.P. 7.25% Series A,NYSE,2020-10-20
ALIN.P.B,Altera Infrastructure L.P. 8.50% Series B,NYSE,2020-10-20
ALIN.P.E,Altera Infrastructure L.P. 8.875% Series E,NYSE,2020-10-20
ALJJ,ALJ Regional Holdings Inc.,NASDAQ,2020-10-20
ALK,Alaska Air Group Inc.,NYSE,2020-10-20
ALKS,Alkermes plc,NASDAQ,2020-10-20
ALL,Allstate Corporation (The),NYSE,2020-10-20
ALL.P.B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,NYSE,2020-10-20
ALL.P.G,Allstate Corporation (The) Depositary Shares Series G,NYSE,2020-10-20
ALL.P.H,Allstate Corporation (The) Depositary Shares Series H,NYSE,2020-10-20
ALL.P.I,Allstate Corporation (The) Depositary Shares Series I,NYSE,2020-10-20
ALLE,Allegion plc,NYSE,2020-10-20
ALLK,Allakos Inc.,NASDAQ,2020-10-20
ALLO,Allogene Therapeutics Inc.,NASDAQ,2020-10-20
ALLT,Allot Ltd.,NASDAQ,2020-10-20
ALLY,Ally Financial Inc.,NYSE,2020-10-20
ALLY.P.A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,NYSE,2020-10-20
ALNA,Allena Pharmaceuticals Inc.,NASDAQ,2020-10-20
ALNY,Alnylam Pharmaceuticals Inc.,NASDAQ,2020-10-20
ALOT,AstroNova Inc.,NASDAQ,2020-10-20
ALP.P.Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),NYSE,2020-10-20
ALPN,Alpine Immune Sciences Inc.,NASDAQ,2020-10-20
ALRM,Alarm.com Holdings Inc.,NASDAQ,2020-10-20
ALRN,Aileron Therapeutics Inc.,NASDAQ,2020-10-20
ALRS,Alerus Financial Corporation,NASDAQ,2020-10-20
ALSK,Alaska Communications Systems Group Inc.,NASDAQ,2020-10-20
ALSN,Allison Transmission Holdings Inc.,NYSE,2020-10-20
ALT,Altimmune Inc.,NYSE MKT,2020-10-20
ALTA,Altabancorp,NASDAQ,2020-10-20
ALTG,Alta Equipment Group Inc. Class A,NYSE,2020-10-20
ALTG.WS,Alta Equipment Group Inc. Warrants,NYSE,2020-10-20
ALTL,PACER FDS TR,NYSE Arca,2020-10-20
ALTM,Altus Midstream Company,NASDAQ,2020-10-20
ALTR,Altair Engineering Inc.,NASDAQ,2020-10-20
ALTY,GLOBAL X FDS,NASDAQ,2020-10-20
ALUS,Alussa Energy Acquisition Corp - Ordinary Shares - Class A,NYSE,2020-10-20
ALUS.U,Alussa Energy Acquisition Corp. Units each consisting of one Class A Ordinary Share and one-half of one redeemable warrant,NYSE,2020-10-19
ALUS.WS,Alussa Energy Acquisition Corp. Redeemable Warrants each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50,NYSE,2020-10-19
ALV,Autoliv Inc.,NYSE,2020-10-20
